# n gamma re_zetaprime im_zetaprime
60 163.030709687 3.963063283253e+00 1.105716201470e+00
61 165.537069188 2.647128027951e+00 -2.124624942192e+00
62 167.184439978 2.389496045136e+00 -5.679640341994e-01
63 169.094515416 1.495312367975e+00 -3.515244473440e-01
64 169.911976479 1.357457947373e-02 1.978890907814e+00
65 173.411536520 1.636810200202e+00 -3.078330815384e+00
66 174.754191523 2.320826211343e+00 -3.993856939131e-01
67 176.441434298 2.624296088513e+00 4.279516197272e-01
68 178.377407776 2.813748142959e+00 1.961780828074e-01
69 179.916484020 2.826904292705e+00 2.074148681104e+00
70 182.207078484 4.996640431618e+00 -3.739416155245e-01
71 184.874467848 2.041888452001e-01 -1.480320873975e+00
72 185.598783678 1.092444371255e+00 5.720934262773e-01
73 187.228922584 1.848308602081e+00 2.150603191931e+00
74 189.416158656 4.844944484782e+00 1.413362912580e+00
75 192.026656361 1.427566754287e+00 -2.373399969099e+00
76 193.079726604 2.276515199029e+00 7.298453594286e-01
77 195.265396680 2.724906091843e+00 -8.355449735096e-01
78 196.876481841 2.175324463257e+00 1.580226118878e-01
79 198.015309676 9.927440605780e-01 2.997803227536e+00
80 201.264751944 1.141095538613e+00 -3.184339895373e+00
81 202.493594514 2.180712907989e+00 -4.808439309289e-01
82 204.189671803 2.075724361884e+00 -4.997022064657e-02
83 205.394697202 1.469630877967e+00 2.383651604144e+00
84 207.906258888 4.401487347167e+00 -1.015418377204e+00
85 209.576509717 4.117747968251e+00 -4.432371103315e-02
86 211.690862595 2.765070296458e+00 -1.820399182952e+00
87 213.347919360 1.953011497185e+00 -7.306828863386e-01
88 214.547044783 1.733920342453e+00 1.369239802704e+00
89 216.169538508 2.593923462158e+00 3.572040197172e+00
90 219.067596349 2.045806042663e+00 -3.585491621575e+00
91 220.714918839 9.862408946361e-01 -1.098120186326e+00
92 221.430705555 8.359733757181e-01 1.386597002747e+00
93 224.007000255 2.410755394722e+00 -1.094848883274e+00
94 224.983324670 1.632878361642e+00 2.380835833421e+00
95 227.421444280 4.975611325009e+00 -1.309407716686e+00
96 229.337413306 3.152701265789e+00 -1.967367061912e+00
97 231.250188700 9.641390363061e-01 -1.121516180770e+00
98 231.987235253 8.514717083433e-01 1.194561580431e+00
99 233.693404179 2.291686852665e+00 3.660091572162e+00
100 236.524229666 2.245584893764e+00 -3.304174629925e+00
